N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,SKC,"152,000","1,000",-0.65%,"5,000","57,560","37,868",13.59,"413,416",132.17,2.21,
60,F&F,"750,000",0,0.00%,500,"57,461","7,661",11.93,"12,936",N/A,N/A,
61,현대건설,"50,500","1,400",+2.85%,"5,000","56,235","111,356",21.65,"171,969",45.58,1.84,
62,금호석유,"183,000","2,500",+1.39%,"5,000","55,756","30,468",20.50,"91,737",4.33,20.18,
63,코웨이,"73,700","1,700",+2.36%,500,"54,390","73,800",59.70,"61,864",12.77,31.51,
64,미래에셋증권,"8,420",130,+1.57%,"5,000","53,494","635,316",13.66,"407,575",6.39,8.94,
65,한국타이어앤테크놀로지,"42,500",950,+2.29%,500,"52,647","123,875",41.87,"66,082",8.53,5.12,
66,맥쿼리인프라,"12,950",0,0.00%,0,"52,427","404,846",14.40,"327,847",N/A,N/A,
67,현대중공업지주,"63,800",200,+0.31%,"1,000","50,398","78,993",17.51,"81,909",-14.73,-8.12,
68,삼성엔지니어링,"24,500",800,+3.38%,"5,000","48,020","196,000",33.15,"1,316,007",15.21,17.32,
69,한국금융지주,"83,800","1,600",+1.95%,"5,000","46,698","55,726",35.21,"47,490",3.98,16.27,
70,오리온,"118,000","3,000",+2.61%,500,"46,653","39,536",39.45,"28,300",19.35,15.50,
71,DB손해보험,"65,500",200,-0.30%,500,"46,374","70,800",42.76,"58,171",6.72,9.08,
72,일진머티리얼즈,"99,100","2,400",-2.36%,500,"45,696","46,111",11.03,"631,428",96.03,7.23,
73,KODEX 200,"38,905",645,+1.69%,0,"45,383","116,650",3.07,"1,834,488",N/A,N/A,
74,LG이노텍,"190,500",0,0.00%,"5,000","45,086","23,667",27.11,"132,664",8.25,10.20,
75,에스디바이오센서,"43,250","1,000",+2.37%,500,"44,665","103,271",2.89,"118,467",6.56,139.97,
76,메리츠금융지주,"32,700",700,+2.19%,500,"43,822","134,011",8.33,"46,559",7.08,16.06,
77,이마트,"156,000","3,500",+2.30%,"5,000","43,486","27,876",34.76,"41,327",7.70,4.05,
78,한국가스공사,"46,950",450,-0.95%,"5,000","43,341","92,313",8.52,"847,306",17.20,-2.24,
79,삼성증권,"46,700",750,+1.63%,"5,000","41,703","89,300",30.12,"123,683",4.56,9.89,
80,아모레G,"50,500","1,250",+2.54%,500,"41,641","82,458",16.86,"56,479",32.17,0.31,
81,유한양행,"59,500","1,800",+3.12%,"1,000","41,634","69,973",18.09,"74,104",43.27,11.06,
82,GS,"44,400","1,000",-2.20%,"5,000","41,254","92,915",19.26,"234,942",5.05,-2.82,
83,삼성카드,"34,600",550,+1.62%,"5,000","40,087","115,859",7.96,"95,807",8.75,5.69,
84,두산밥캣,"39,400","1,350",+3.55%,500,"39,498","100,249",25.82,"78,634",10.37,6.15,
